question,url /website/link,answer
How to apply & ABN entitlement,https://www.ato.gov.au/businesses-and-organisations/international-tax-for-business/foreign-residents-doing-business-in-australia/australian-business-number-abn-for-non-residents,"The ABN is an 11-digit identifier for a business or organisation. Not everyone is entitled to an ABN. Applying when not entitled (e.g., to claim GST refunds) can lead to prosecution.
 Applications may be reviewed at any time, and you may need to show evidence that you started or took steps to start your enterprise from the start date in the application."
Processing your ABN application,https://www.ato.gov.au/businesses-and-organisations/international-tax-for-business/foreign-residents-doing-business-in-australia/australian-business-number-abn-for-non-residents,"Processing is faster if identity can be confirmed with the information provided (e.g., TFN). You can start and save the application. 
If successful, you receive your ABN immediately, should save/print the confirmation, can apply for other registrations (e.g., GST), your details go on the Australian Business Register (you can request some not be disclosed),
 and you must keep details up to date."
Reference number ABN path,https://www.ato.gov.au/businesses-and-organisations/international-tax-for-business/foreign-residents-doing-business-in-australia/australian-business-number-abn-for-non-residents,"If you receive a reference number, more information or checks are needed. The aim is to review within 20 business days and contact you if needed. You can check ABN Lookup to see if the ABN has been processed.
 If approved after review, a letter is sent within 14 days confirming the ABN."
Unsuccessful ABN application,https://www.ato.gov.au/businesses-and-organisations/international-tax-for-business/foreign-residents-doing-business-in-australia/australian-business-number-abn-for-non-residents,"If unsuccessful, you receive a refusal number and a letter within 14 days explaining the reasons, options available, and review rights. Remember: not everyone is entitled to an ABN."
Further info & ABN maintenance,https://www.ato.gov.au/businesses-and-organisations/international-tax-for-business/foreign-residents-doing-business-in-australia/australian-business-number-abn-for-non-residents,"Related topics: what you need for an ABN application, ABN for businesses outside Australia, your business information on the ABR, ABN important facts, and updating or cancelling your ABN."
What is a TFN?,https://www.ato.gov.au/individuals-and-families/tax-file-number,"A tax file number (TFN) is your personal reference number in the tax and superannuation systems.Find out why you need a TFN, where to find it and how to keep your TFN and personal details safe."
Apply for a TFN,https://www.ato.gov.au/individuals-and-families/tax-file-number/apply-for-a-tfn/foreign-passport-holders-permanent-migrants-and-temporary-visitors-tfn-application,How to apply for a TFN online or by paper depending on your circumstances and residency status. It is free to apply.
Lost or stolen TFN,https://www.ato.gov.au/individuals-and-families/tax-file-number,Find your TFN online with ATO online services. Tell the ATO as soon as possible if your TFN is stolen or misused.
Update TFN registration details,https://www.ato.gov.au/individuals-and-families/tax-file-number,"How to update your TFN registration details, including your name, date of birth, bank details and gender."
Identity TFN documents,https://www.ato.gov.au/individuals-and-families/tax-file-number,"Identity documents needed to apply for a TFN, ABN or register for GST, and who can certify your original documents."
